word,pos.,meaning,unit
fox,n,狐狸,Unit6
loudly,adv,响亮地，大声地,Unit6
land,v,掉落,Unit6
village,n,乡村，村庄,Unit6
reporter,n,记者,Unit6
depth,n,深，深度,Unit6
businessman,n,商人；,Unit6
industrial,adj,工业的,Unit6
litter,n,垃圾，废弃物,Unit6
peace,n,和平；平静，安宁,Unit6
business,n,公司，企业，,Unit6
building,n,建筑物；楼房，,Unit6
imagination,n,幻想,Unit6
“The Young China”,n,《少年中国说》,专有名词
A Dog Called Money,n,《小狗钱钱》,专有名词
“The Gift of the Magi”,n,《麦琪的礼物》,专有名词
the ancient Shu Kingdom,n,古蜀国,专有名词
Changsha Mawangdui Han Dynasty Tombs Exhibition,n,长沙马王堆汉墓陈列,专有名词
Palace Museum,n,故宫博物院,专有名词
the Battle at Lake Changjin,n,长津湖战役,专有名词
WWF (World Wildlife Fund),n,世界自然基金会,专有名词
IUCN Red List of Threatened Species,n,《世界自然保护联盟濒危物种红色名录》,专有名词
Yellowstone National Park,n,黄石国家公园,专有名词
the North Pole,n,北极,专有名词
the South Pole,n,南极,专有名词
